"GroupNumber","FilePath","FileName","FileSize","LastModified","Hash"
"1","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000622.jpg","00000622.jpg","28.22 KB","15/10/2024 10:24:48 pm","1d55cfae27355963f91f998f1094f6bf"
"1","C:\Users\louie\Documents\Project\Capstone\Images\00000622.jpg","00000622.jpg","28.22 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"2","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00001435.jpg","00001435.jpg","31.61 KB","15/10/2024 10:25:00 pm","1d55cfae27355963f91f998f1094f6bf"
"2","C:\Users\louie\Documents\Project\Capstone\Images\00001435.jpg","00001435.jpg","31.61 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"3","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000431.jpg","00000431.jpg","21.46 KB","15/10/2024 10:24:46 pm","1d55cfae27355963f91f998f1094f6bf"
"3","C:\Users\louie\Documents\Project\Capstone\Images\00000431.jpg","00000431.jpg","21.46 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00005221.jpg","00005221.jpg","21.31 KB","15/10/2024 10:25:57 pm","1d55cfae27355963f91f998f1094f6bf"
"4","C:\Users\louie\Documents\Project\Capstone\Images\00005221.jpg","00005221.jpg","21.31 KB","18/10/2024 8:33:45 am","1d55cfae27355963f91f998f1094f6bf"
"5","C:\Users\louie\Documents\GitProject\PCSO Predictions\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py","__init__.py","21.82 KB","12/4/2025 10:11:39 am","1d55cfae27355963f91f998f1094f6bf"
"5","C:\Users\louie\Documents\GitProject\Toto-Predictions\.venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py","__init__.py","21.82 KB","27/2/2025 3:23:16 pm","1d55cfae27355963f91f998f1094f6bf"
"6","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004018.jpg","00004018.jpg","15.85 KB","15/10/2024 10:25:39 pm","1d55cfae27355963f91f998f1094f6bf"
"6","C:\Users\louie\Documents\Project\Capstone\Images\00004018.jpg","00004018.jpg","15.85 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"7","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00005043.jpg","00005043.jpg","35.06 KB","15/10/2024 10:25:55 pm","1d55cfae27355963f91f998f1094f6bf"
"7","C:\Users\louie\Documents\Project\Capstone\Images\00005043.jpg","00005043.jpg","35.06 KB","18/10/2024 8:33:45 am","1d55cfae27355963f91f998f1094f6bf"
"8","C:\Users\louie\Documents\GitProject\.mypy_cache\3.12\asyncio\protocols.data.json","protocols.data.json","19.20 KB","1/2/2025 1:28:03 pm","1d55cfae27355963f91f998f1094f6bf"
"8","C:\Users\louie\Documents\GitProject\Toto-Predictions\.mypy_cache\3.12\asyncio\protocols.data.json","protocols.data.json","19.20 KB","3/2/2025 4:37:50 pm","1d55cfae27355963f91f998f1094f6bf"
"9","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004248.jpg","00004248.jpg","21.36 KB","15/10/2024 10:25:42 pm","1d55cfae27355963f91f998f1094f6bf"
"9","C:\Users\louie\Documents\Project\Capstone\Images\00004248.jpg","00004248.jpg","21.36 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"10","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002078.jpg","00002078.jpg","19.21 KB","15/10/2024 10:25:10 pm","1d55cfae27355963f91f998f1094f6bf"
"10","C:\Users\louie\Documents\Project\Capstone\Images\00002078.jpg","00002078.jpg","19.21 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"11","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004341.jpg","00004341.jpg","10.20 KB","15/10/2024 10:25:43 pm","1d55cfae27355963f91f998f1094f6bf"
"11","C:\Users\louie\Documents\Project\Capstone\Images\00004341.jpg","00004341.jpg","10.20 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"12","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002367.jpg","00002367.jpg","32.43 KB","15/10/2024 10:25:14 pm","1d55cfae27355963f91f998f1094f6bf"
"12","C:\Users\louie\Documents\Project\Capstone\Images\00002367.jpg","00002367.jpg","32.43 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"13","C:\Users\louie\Documents\GitProject\.mypy_cache\3.12\matplotlib\tri\_trirefine.data.json","_trirefine.data.json","17.41 KB","1/2/2025 1:28:09 pm","1d55cfae27355963f91f998f1094f6bf"
"13","C:\Users\louie\Documents\GitProject\Toto-Predictions\.mypy_cache\3.12\matplotlib\tri\_trirefine.data.json","_trirefine.data.json","17.41 KB","3/2/2025 4:37:52 pm","1d55cfae27355963f91f998f1094f6bf"
"14","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004125.jpg","00004125.jpg","16.70 KB","15/10/2024 10:25:40 pm","1d55cfae27355963f91f998f1094f6bf"
